YEAR,MONTH,DAY,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY
2015,1,26,MHT,BWI,-2.0,377,-26.0
2015,1,26,JFK,MIA,6.0,1089,31.0
2015,1,27,LAX,DFW,-5.0,1235,-6.0
2015,1,27,SFO,DFW,-9.0,1464,-5.0
2015,1,27,MHT,BWI,,377,
2015,1,27,JFK,MIA,,1089,
2015,1,28,LAX,DFW,-3.0,1235,1.0
2015,1,28,SFO,DFW,-14.0,1464,-16.0
2015,1,28,MHT,BWI,,377,
2015,1,28,JFK,MIA,,1089,
2015,1,29,LAX,DFW,-5.0,1235,-17.0
2015,1,29,SFO,DFW,-9.0,1464,-22.0
2015,1,29,MHT,BWI,-1.0,377,-35.0
2015,1,29,JFK,MIA,-4.0,1089,-27.0
2015,1,30,LAX,DFW,-3.0,1235,10.0
2015,1,30,MHT,BWI,-2.0,377,-21.0
2015,1,30,JFK,MIA,1.0,1089,4.0
2015,1,31,LAX,DFW,-3.0,1235,-2.0
2015,1,31,SFO,DFW,-5.0,1464,7.0
2015,1,31,MHT,BWI,0.0,377,-41.0
2015,1,31,JFK,MIA,-1.0,1089,0.0
2015,2,1,LAX,DFW,-3.0,1235,-2.0
2015,2,1,PHX,ATL,-5.0,1587,-12.0
2015,2,1,SLC,ATL,-5.0,1590,-27.0
2015,2,1,IAH,MIA,1.0,964,-2.0
2015,2,1,JFK,MIA,-2.0,1089,-5.0
2015,2,1,BWI,MIA,73.0,946,73.0
2015,2,1,MDW,ATL,2.0,591,20.0
2015,2,1,MHT,ATL,0.0,952,-27.0
2015,2,2,LAX,DFW,-4.0,1235,1.0
2015,2,2,PHX,JFK,1.0,2153,3.0
2015,2,2,JFK,MIA,,1089,
2015,2,2,MHT,BWI,,377,
2015,2,3,LAX,DFW,-3.0,1235,-8.0
2015,2,3,SFO,DFW,-2.0,1464,5.0
2015,2,3,JFK,MIA,-2.0,1089,-8.0
2015,2,3,MHT,BWI,2.0,377,-13.0
2015,2,4,LAX,DFW,-11.0,1235,-10.0
2015,2,4,SFO,DFW,-4.0,1464,5.0
2015,2,4,JFK,MIA,1.0,1089,41.0
2015,2,4,MHT,BWI,-1.0,377,-27.0
2015,2,5,LAX,DFW,-7.0,1235,-8.0
2015,2,5,SFO,DFW,2.0,1464,3.0
2015,2,5,JFK,MIA,-6.0,1089,
2015,2,5,MHT,BWI,-2.0,377,2.0
2015,2,6,LAX,DFW,-5.0,1235,0.0
2015,2,6,JFK,MIA,-2.0,1089,19.0
2015,2,6,MHT,BWI,21.0,377,12.0
2015,2,7,LAX,DFW,-4.0,1235,-1.0
2015,2,7,MHT,BWI,-2.0,377,-37.0
2015,2,7,JFK,MIA,-3.0,1089,-12.0
2015,2,8,LAX,DFW,-7.0,1235,-13.0
2015,2,8,SFO,DFW,-3.0,1464,-19.0
2015,2,8,SLC,ATL,2.0,1590,-26.0
2015,2,8,IAH,MIA,-4.0,964,5.0
2015,2,8,JFK,MIA,-7.0,1089,3.0
2015,2,8,BWI,MIA,-8.0,946,-1.0
2015,2,8,MDW,ATL,-7.0,591,-12.0
2015,2,8,MHT,ATL,1.0,952,-7.0
2015,2,9,LAX,DFW,-2.0,1235,-6.0
2015,2,9,PHX,ATL,16.0,1587,5.0
2015,2,9,JFK,MIA,,1089,
2015,2,9,MHT,BWI,-3.0,377,-13.0
2015,2,10,LAX,DFW,-4.0,1235,-20.0
2015,2,10,SFO,DFW,-9.0,1464,-13.0
2015,2,10,JFK,MIA,-3.0,1089,-11.0
2015,2,10,MHT,BWI,-1.0,377,-19.0
2015,2,11,LAX,DFW,-4.0,1235,-9.0
2015,2,11,SFO,DFW,-6.0,1464,-4.0
2015,2,11,JFK,MIA,3.0,1089,-8.0
2015,2,11,MHT,BWI,-2.0,377,-24.0
2015,2,12,LAX,DFW,-5.0,1235,5.0
2015,2,12,SFO,DFW,-3.0,1464,20.0
2015,2,12,MHT,BWI,-6.0,377,-13.0
2015,2,13,LAX,DFW,-2.0,1235,10.0
2015,2,13,MHT,BWI,-4.0,377,-39.0
2015,2,14,LAX,DFW,-5.0,1235,-5.0
2015,2,14,MHT,BWI,-2.0,377,-37.0
2015,2,15,LAX,DFW,-5.0,1235,-2.0
2015,2,15,MDW,ATL,-6.0,591,-27.0
2015,2,15,MHT,ATL,,952,
2015,2,16,LAX,DFW,-2.0,1235,-4.0
2015,2,16,MHT,BWI,,377,
2015,2,17,LAX,DFW,-1.0,1235,-5.0
2015,2,17,MHT,BWI,24.0,377,71.0
2015,2,18,LAX,DFW,7.0,1235,5.0
2015,2,18,SFO,DFW,4.0,1464,6.0
2015,2,18,SEA,PHX,-7.0,1107,-16.0
2015,2,18,MHT,BWI,0.0,377,-23.0
2015,2,19,LAX,DFW,5.0,1235,-14.0
2015,2,19,SFO,DFW,-3.0,1464,-13.0
2015,2,19,MHT,BWI,0.0,377,-16.0
2015,2,20,LAX,DFW,-8.0,1235,-22.0
2015,2,20,MHT,BWI,0.0,377,-26.0
2015,2,21,LAX,DFW,-1.0,1235,-5.0
2015,2,21,MHT,BWI,0.0,377,-32.0
2015,2,22,LAX,DFW,-3.0,1235,-9.0
2015,2,22,MDW,ATL,-4.0,591,-21.0
2015,2,22,MHT,ATL,-1.0,952,-7.0
2015,2,23,LAX,DFW,29.0,1235,21.0
2015,2,23,MHT,BWI,-3.0,377,-20.0
2015,2,24,LAX,DFW,32.0,1235,14.0
2015,2,24,MHT,BWI,-1.0,377,-36.0
2015,2,25,LAX,DFW,-9.0,1235,-22.0
2015,2,25,SFO,DFW,-8.0,1464,-12.0
2015,2,25,SEA,PHX,-8.0,1107,-19.0
2015,2,25,MHT,BWI,-5.0,377,-35.0
2015,2,26,LAX,DFW,-3.0,1235,-9.0
2015,2,26,SFO,DFW,4.0,1464,-4.0
2015,2,26,MHT,BWI,-7.0,377,-23.0
2015,2,27,LAX,DFW,-5.0,1235,-19.0
2015,2,27,MHT,BWI,-2.0,377,-23.0
2015,2,28,LAX,DFW,111.0,1235,93.0
2015,2,28,MHT,BWI,-5.0,377,-34.0
2015,3,1,LAX,DFW,,1235,
2015,3,1,JFK,MIA,-6.0,1089,-4.0
2015,3,1,MDW,ATL,-5.0,591,-24.0
2015,3,1,MHT,ATL,-1.0,952,-17.0
2015,3,2,LAX,DFW,20.0,1235,12.0
2015,3,2,JFK,MIA,,1089,
2015,3,2,MHT,BWI,-1.0,377,-18.0
2015,3,3,LAX,DFW,3.0,1235,-4.0
2015,3,3,JFK,MIA,-1.0,1089,-23.0
2015,3,3,MHT,BWI,-3.0,377,-32.0
2015,3,4,LAX,DFW,-7.0,1235,-11.0
2015,3,4,JFK,MIA,-3.0,1089,21.0
2015,3,4,MHT,BWI,-5.0,377,-24.0
2015,3,5,JFK,MIA,,1089,
2015,3,5,MHT,BWI,-5.0,377,-19.0
2015,3,6,JFK,MIA,162.0,1089,178.0
2015,3,6,MHT,BWI,0.0,377,-21.0
2015,3,7,LAX,DFW,-4.0,1235,5.0
2015,3,7,MDW,BWI,-3.0,611,-6.0
2015,3,7,JFK,MIA,-1.0,1089,-6.0
2015,3,8,LAX,MIA,-3.0,2342,0.0
2015,3,8,LAS,MIA,483.0,2174,500.0
2015,3,8,SLC,JFK,-1.0,1990,-18.0
2015,3,8,PHX,MIA,0.0,1972,11.0
2015,3,8,MHT,BWI,-2.0,377,-34.0
2015,3,8,JFK,MIA,16.0,1089,8.0
2015,3,9,MDW,PHX,0.0,1444,-19.0
2015,3,9,MHT,BWI,-4.0,377,-25.0
2015,3,9,JFK,MIA,-6.0,1089,-21.0
2015,3,10,MDW,PHX,-3.0,1444,-38.0
2015,3,10,MHT,BWI,-5.0,377,-28.0
2015,3,10,JFK,MIA,-12.0,1089,-15.0
2015,3,11,MDW,PHX,,1444,
2015,3,11,MHT,BWI,0.0,377,-7.0
2015,3,11,JFK,MIA,-4.0,1089,-21.0
2015,3,12,MDW,PHX,4.0,1444,-35.0
2015,3,12,MHT,BWI,3.0,377,-17.0
2015,3,12,JFK,MIA,3.0,1089,8.0
2015,3,13,MDW,PHX,-1.0,1444,-37.0
2015,3,13,MHT,BWI,-2.0,377,-39.0
2015,3,13,JFK,MIA,-3.0,1089,-6.0
2015,3,14,LAX,DFW,-1.0,1235,19.0
2015,3,14,JFK,MIA,-3.0,1089,-13.0
2015,3,15,MHT,BWI,-5.0,377,-28.0
2015,3,15,JFK,MIA,-2.0,1089,-5.0
2015,3,16,MDW,PHX,3.0,1444,-38.0
2015,3,16,MHT,BWI,-2.0,377,-25.0
2015,3,16,JFK,MIA,-4.0,1089,-36.0
2015,3,17,MDW,PHX,-3.0,1444,-36.0
