到达机场,id
XMN,26
TAO,19
HRB,7
KMG,9
PEK,12
CTU,2
NKG,11
WUH,25
SYX,17
HET,4
TNA,22
SHE,15
SZX,18
CKG,1
HGH,6
SHA,14
CGO,0
PVG,13
FOC,3
SJW,16
TYN,23
URC,24
TGO,20
HFE,5
KWL,10
JDZ,8
TLQ,21
